frame,Mass,x,y
482,0,437.0373,287.2166
482,1,437.11697,395.92487
483,0,452.31848,286.2125
483,1,447.38306,394.92258
484,0,459.5453,285.44052
484,1,452.46542,393.82498
485,0,475.05344,282.52795
485,1,463.0551,390.06674
486,0,488.32086,277.42133
486,1,473.5963,385.18277
487,0,507.99396,268.0689
487,1,492.0995,375.6358
488,0,520.31665,259.58444
488,1,503.95068,369.22348
489,0,529.597,252.29396
489,1,514.6303,361.6416
490,0,534.8365,247.76189
490,1,521.82764,358.45477
491,0,542.6441,240.46764
491,1,533.92615,350.57748
492,0,550.14307,233.84311
492,1,547.41327,343.02716
493,0,555.71106,224.83516
493,1,559.84485,335.14514
494,0,563.377,213.92952
494,1,580.50415,323.32584
495,0,567.6966,208.20465
495,1,591.23553,316.28247
496,0,569.4728,202.76445
496,1,603.74225,307.83926
497,0,570.2114,201.39784
497,1,610.2479,304.40878
498,0,572.52216,196.90675
498,1,621.8521,295.79977
499,0,572.77747,193.76323
499,1,632.4309,287.38718
500,0,572.08954,192.53612
